Nome: FLORIANOPOLIS
Codigo Estacao: A806
Latitude: -27.6025
Longitude: -48.61999999
Altitude: 4.87
Situacao: Operante
Data Inicial: 2003-01-21
Data Final: 2023-09-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2003-01-31;null;null;null;
2003-02-28;null;null;null;
2003-03-31;null;null;null;
2003-04-30;77,8;1015,673175;22,290655;
2003-05-31;47,8;1017,016767;19,412648;
2003-06-30;74,8;1017,300328;18,633211;
2003-07-31;24,6;1020,503186;17,359662;
2003-08-31;11,8;1020,64018;16,467903;
2003-09-30;110,2;1019,084444;17,829306;
2003-10-31;null;null;21,155444;
2003-11-30;114,2;1012,555;22,220417;
2003-12-31;230,4;1012,691357;23,560083;
2004-01-31;334,2;1011,962582;24,279295;
2004-02-29;190;1013,279228;24,217704;
2004-03-31;185,4;1014,06498;23,279678;
2004-04-30;null;null;null;
2004-05-31;null;null;null;
2004-06-30;82,2;1019,490676;17,842262;
2004-07-31;84,4;1020,547155;16,452016;
2004-08-31;null;null;null;
2004-09-30;null;null;null;
2004-10-31;null;null;null;
2004-11-30;null;null;null;
2004-12-31;null;null;null;
2005-01-31;null;null;null;
2005-02-28;null;null;null;
2005-03-31;null;null;null;
2005-04-30;null;null;null;
2005-05-31;null;null;null;
2005-06-30;30,2;1017,631376;20,263996;
2005-07-31;77,4;1020,431543;16,995217;
2005-08-31;null;1017,566568;18,670506;
2005-09-30;null;1019,667636;17,28453;
2005-10-31;196,2;1014,965116;20,685492;
2005-11-30;null;1013,456763;22,202885;
2005-12-31;92,6;1012,769355;23,198118;
2006-01-31;181,4;1012,259812;25,785484;
2006-02-28;null;1010,080718;25,073296;
2006-03-31;69,6;1012,044971;25,582328;
2006-04-30;null;1013,785678;21,803856;
2006-05-31;null;null;18,413367;
2006-06-30;null;1020,059992;18,137055;
2006-07-31;null;null;18,619853;
