Nome: ITAJAI
Codigo Estacao: A868
Latitude: -26.95083333
Longitude: -48.76194444
Altitude: 9.76
Situacao: Operante
Data Inicial: 2010-06-23
Data Final: 2023-09-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2010-06-30;null;null;null;
2010-07-31;114,8;1020,126747;16,844355;
2010-08-31;71,6;1020,274141;15,63345;
2010-09-30;83;1016,634444;18,514167;
2010-10-31;127,2;1014,418145;19,074866;
2010-11-30;124,2;1010,983472;21,420417;
2010-12-31;253,4;1009,15793;22,935349;
2011-01-31;310,6;1008,300807;25,39879;
2011-02-28;255,4;1010,800893;24,920089;
2011-03-31;229,8;1013,747751;23,12459;
2011-04-30;65,6;1014,472917;21,392222;
2011-05-31;82,8;1017,538179;18,064899;
2011-06-30;87,4;1017,129167;15,443056;
2011-07-31;201,4;1018,040188;15,329167;
2011-08-31;349,6;1017,377554;16,277419;
2011-09-30;229,8;1019,888472;16,953055;
2011-10-31;124,4;1013,427285;20,24328;
2011-11-30;93,8;1014,107222;20,839306;
2011-12-31;165,6;1010,605376;22,582796;
2012-01-31;203,6;1011,321371;23,665591;
2012-02-29;96;1011,292672;25,255603;
2012-03-31;86,2;1013,4625;23,13078;
2012-04-30;161,8;1013,743889;21,206111;
2012-05-31;159,6;1018,123387;18,853764;
2012-06-30;162;1017,596159;16,66154;
2012-07-31;200,2;1018,011962;15,321505;
2012-08-31;49,2;1021,707417;18,649316;
2012-09-30;52,6;1017,817778;18,86625;
2012-10-31;137,6;1013,49086;20,979167;
2012-11-30;57,6;1012,736806;22,301944;
2012-12-31;102,8;1009,44785;25,042339;
2013-01-31;110,2;1012,657527;23,6625;
2013-02-28;185,8;1011,247321;24,554762;
2013-03-31;337,4;1013,59375;22,887787;
2013-04-30;267,6;1015,420694;20,657639;
2013-05-31;82,8;1015,882527;18,395564;
2013-06-30;198,8;1016,881818;17,395341;
2013-07-31;172;1019,956989;14,905376;
2013-08-31;112,4;1018,558468;15,615188;
2013-09-30;186,8;1016,926111;18,051111;
2013-10-31;127,8;1015,734005;20,06922;
2013-11-30;81,4;1013,549722;21,745;
2013-12-31;123,6;1009,872312;24,204973;
2014-01-31;199,4;1011,96129;25,557527;
2014-02-28;106;1012,214435;25,950595;
2014-03-31;262,6;1013,175672;23,586828;
2014-04-30;57;1015,830912;21,725405;
2014-05-31;62,4;1016,268414;19,156855;
2014-06-30;307,4;1017,363611;17,639861;
2014-07-31;47;1021,175806;16,85914;
2014-08-31;107,6;1018,774866;17,301075;
2014-09-30;179,4;1015,814722;19,549722;
2014-10-31;70,2;1016,122715;21,531855;
2014-11-30;142,2;1012,909028;22,607639;
2014-12-31;168,2;1011,548387;24,087097;
2015-01-31;150,6;1012,276478;25,483333;
